order_id,customer_id,product_id,order_date,quantity,amount,order_status
ORD00015364,CUST007876,PROD0065,2025-03-26,2,10870.48,Shipped
ORD00066753,CUST002172,PROD0040,2025-07-05,8,14010.56,Returned
ORD00052643,CUST017847,PROD0001,2025-05-17,3,85772.94,Delivered
ORD00050374,CUST002721,PROD0029,2023-04-28,6,76598.82,Delivered
ORD00010674,CUST012220,PROD0075,2025-07-09,1,1127.95,Delivered
ORD00054174,CUST018162,PROD0022,2025-02-23,2,18081.64,Delivered
ORD00038213,CUST018110,PROD0074,2023-08-04,1,838.22,Pending
ORD00035811,CUST004260,PROD0095,2025-11-27,abc,7158.96,Delivered
ORD00093836,CUST008354,PROD0077,2024-11-16,5,2791.95,Shipped
ORD00079116,CUST010603,PROD0063,2024-12-10,1,1957.06,Delivered
ORD00046212,CUST001885,PROD0013,2023-03-14,2,40409.48,Delivered
ORD00027932,CUST007162,PROD0090,2024-09-21,1,4904.58,Delivered
ORD00059760,CUST015641,PROD0073,2025-08-21,2,8987.36,Delivered
ORD00019744,CUST016299,PROD0088,2025-06-24,3,982.29,Cancelled
ORD00041280,CUST018106,PROD0026,2022-04-15,1,10836.41,Delivered
ORD00091558,CUST001791,PROD0085,2021-05-27,2,8567.44,Pending
ORD00007095,CUST005842,PROD0065,2022-11-02,1,5435.24,Delivered
ORD00037161,CUST005747,PROD0073,2022-05-26,3,13481.04,Shipped
ORD00018064,CUST005380,PROD0067,2024-01-29,2,4434.12,Delivered
ORD00078431,CUST016543,PROD0090,2025-10-29,5,24522.9,Shipped
ORD00047211,CUST015826,PROD0090,2025-05-14,1,4904.58,Delivered
ORD00038372,CUST006241,PROD0021,2024-02-10,1,12283.8,Delivered
ORD00086596,CUST005617,PROD0082,2024-01-13,2,3394.54,Delivered
ORD00099859,CUST007140,PROD0052,2023-11-18,1,4368.31,Pending
ORD00048500,CUST015942,PROD0007,2025-10-20,1,20506.18,Delivered
ORD00078092,CUST002742,PROD0017,2023-03-27,1,29613.18,Shipped
ORD00071894,CUST005619,PROD0053,2022-11-14,1,4886.41,Delivered
ORD00086690,CUST005933,PROD0046,2021-12-19,4,19532.72,Delivered
ORD00054204,CUST000136,PROD0057,2024-04-29,2,3002.34,Shipped
ORD00069764,CUST009644,PROD0064,2025-12-08,2,,Delivered
ORD00035760,CUST004767,PROD0083,2025-09-02,1,2057.5,Delivered
ORD00028608,CUST002379,PROD0073,2025-09-09,1,4493.68,Delivered
ORD00041437,CUST014068,PROD0018,2025-05-09,2,44422.14,Cancelled
ORD00063573,CUST002220,PROD0073,2025-06-28,2,8987.36,Delivered
ORD00089791,CUST004144,PROD0064,2023-03-11,4,22753.24,Delivered
ORD00059625,CUST001387,PROD0015,2025-03-16,2,59751.02,Shipped
ORD00021889,CUST017901,PROD0047,2024-12-03,3,8306.4,Delivered
ORD00080241,CUST001301,PROD0081,2025-10-08,1,989.41,Shipped
ORD00040968,CUST011133,PROD0011,2022-12-11,2,17195.52,Shipped
ORD00072277,CUST001559,PROD0005,2025-06-27,4,123162.28,Delivered
ORD00089988,CUST015035,PROD0066,2025-05-19,1,2343.68,Shipped
ORD00011931,CUST017537,PROD0086,2025-06-20,1,175.09,Shipped
ORD00013473,CUST010096,PROD0089,2024-11-08,2,6996.44,Cancelled
ORD00005663,CUST000905,PROD0083,2025-12-12,3,6172.5,Delivered
ORD00091715,CUST005150,PROD0033,2023-10-29,1,19264.99,Delivered
ORD00087604,CUST004600,PROD0021,2024-06-06,1,12283.8,Delivered
ORD00023517,CUST007247,PROD0061,2024-03-17,1,2366.59,Shipped
ORD00028892,CUST000912,PROD0075,2024-12-15,3,3383.85,Shipped
ORD00041567,CUST018688,PROD0035,2023-12-06,1,17402.79,Delivered
ORD00073565,CUST019152,PROD0062,2025-02-23,1,484.95,Delivered
ORD00093155,CUST004678,PROD0042,2022-08-11,5,22545.35,Delivered
ORD00045056,CUST001552,PROD0050,2025-11-03,6,23933.1,Delivered
ORD00032829,CUST009545,PROD0039,2023-12-09,3,13405.38,Delivered
ORD00086090,CUST010730,PROD0035,2025-12-09,1,17402.79,Delivered
ORD00089533,CUST006364,PROD0017,2025-04-05,3,88839.54,Delivered
ORD00020425,CUST007530,PROD0044,2023-09-12,2,6636.76,Returned
ORD00046807,CUST004651,PROD0012,2023-10-16,2,94732.7,Delivered
ORD00041598,CUST006154,PROD0071,2022-03-31,1,1798.22,Shipped
ORD00057236,CUST011431,PROD0057,2025-10-19,3,4503.51,Delivered
ORD00041568,CUST016077,PROD0073,2025-02-01,1,4493.68,Delivered
ORD00076185,CUST007541,PROD0016,2023-07-04,8,70052.0,Returned
ORD00069548,CUST011557,PROD0088,2024-07-22,1,327.43,Delivered
ORD00064497,CUST011234,PROD0049,2022-12-21,1,7126.1,Returned
ORD00016682,CUST012841,PROD0021,2024-11-05,2,24567.6,Delivered
ORD00001392,CUST000703,PROD0073,2024-06-02,4,17974.72,Delivered
ORD00069152,CUST002298,PROD0003,2023-13-05,1,45430.69,Pending
ORD00053361,CUST007627,PROD0009,2024-07-05,2,7099.62,Delivered
ORD00017476,CUST006051,PROD0006,2024-12-03,3,100129.86,Pending
ORD00067677,CUST010247,PROD0064,2025-11-28,3,17064.93,Delivered
ORD00048049,CUST018305,PROD0060,2025-04-23,1,566.88,Shipped
ORD00069124,CUST004057,PROD0049,2025-08-03,1,7126.1,Delivered
ORD00003094,CUST006217,PROD0036,2025-10-18,1,7562.38,Delivered
ORD00075576,CUST003290,PROD0062,2025-07-25,1,484.95,Delivered
ORD00098551,CUST011329,PROD0099,2025-06-18,6,1838.34,Delivered
ORD00082852,CUST018874,PROD0002,2025-05-08,1,46811.42,Delivered
ORD00093299,CUST012865,PROD0030,2025-09-25,1,19536.17,Delivered
ORD00087637,CUST004465,PROD0043,2025-05-19,2,541.96,Delivered
ORD00044304,CUST018148,PROD0063,2024-12-05,0,3914.12,Delivered
ORD00006870,CUST012929,PROD0069,2025-07-29,1,6975.53,Delivered
ORD00050617,CUST015850,PROD0031,2025-07-14,1,19668.5,Shipped
ORD00036657,CUST004883,PROD0037,2025-09-18,3,53698.68,Delivered
ORD00088487,CUST014378,PROD0098,2024-08-16,2,5022.16,Shipped
ORD00026158,CUST010181,PROD0036,2025-10-15,8,60499.04,Delivered
ORD00073397,CUST011815,PROD0006,2025-08-12,1,33376.62,Shipped
ORD00046900,CUST016714,PROD0031,2024-04-25,4,78674.0,Delivered
ORD00047493,CUST010767,PROD0033,2025-06-07,2,38529.98,Delivered
ORD00011854,CUST000775,PROD0100,2025-02-14,1,386.41,Delivered
ORD00074493,CUST010152,PROD0030,2025-11-03,1,19536.17,Pending
ORD00042902,CUST000798,PROD0016,2025-03-09,3,26269.5,Delivered
ORD00093072,CUST018493,PROD0013,2023-07-02,2,40409.48,Delivered
ORD00084590,CUST008997,PROD0065,2025-03-22,4,21740.96,Delivered
ORD00010220,CUST004252,PROD0083,2023-07-07,2,4115.0,Delivered
ORD00043960,CUST012218,PROD0077,2025-02-08,1,558.39,Delivered
ORD00042810,CUST002309,PROD0090,2025-12-08,2,9809.16,Shipped
ORD00085061,CUST010812,PROD0036,2025-12-04,8,60499.04,Delivered
ORD00022395,CUST000796,PROD0006,2023-09-17,3,100129.86,Delivered
ORD00067893,CUST005425,PROD0009,2023-01-17,4,14199.24,Delivered
ORD00059132,CUST010476,PROD0030,2023-05-15,1,19536.17,Delivered
ORD00064896,CUST002071,PROD0052,2021-05-01,2,8736.62,Shipped
ORD00070050,CUST004543,PROD0001,2024-10-23,4,114363.92,Cancelled
ORD00001005,CUST008981,PROD0071,2023-08-13,1,1798.22,Returned
ORD00088110,CUST014574,PROD0064,2025-05-19,1,5688.31,Cancelled
ORD00047225,CUST011635,PROD0050,2025-08-27,5,19944.25,Delivered
ORD00069464,,PROD0087,2024-09-26,1,4551.82,Cancelled
ORD00072055,CUST016970,PROD0031,2024-09-08,1,19668.5,Cancelled
ORD00060868,CUST018038,PROD0001,2025-01-07,1,28590.98,Delivered
ORD00067957,CUST005042,PROD0056,2025-07-10,2,6745.54,Shipped
ORD00043793,CUST018548,PROD0040,2025-11-11,1,1751.32,Delivered
ORD00020015,CUST009973,PROD0074,2024-11-17,1,838.22,Shipped
ORD00012761,CUST006121,PROD0100,2025-06-17,3,1159.23,Delivered
ORD00066825,CUST018852,PROD0075,2025-12-02,4,4511.8,Delivered
ORD00010599,CUST000954,PROD0085,2022-08-26,1,4283.72,Returned
ORD00072634,CUST018320,PROD0039,2022-09-15,1,4468.46,Pending
ORD00059204,CUST006414,PROD0039,2024-05-12,3,13405.38,Delivered
ORD00094422,CUST016835,PROD0083,2023-09-07,3,6172.5,Returned
ORD00050836,CUST014510,PROD0077,2025-11-28,1,558.39,Shipped
ORD00011124,CUST012941,PROD0010,2023-10-14,1,2820.76,Delivered
ORD00088336,CUST000483,PROD0053,2025-07-21,1,4886.41,Cancelled
ORD00018382,CUST013434,PROD0032,2025-01-18,8,75293.28,Delivered
ORD00043570,CUST015934,PROD0027,2021-12-17,2,16149.92,Delivered
ORD00023214,CUST012324,PROD0012,2024-05-08,2,94732.7,Shipped
ORD00099265,CUST003710,PROD0053,2023-04-25,1,4886.41,Delivered
ORD00078899,CUST017196,PROD0039,2023-11-08,1,4468.46,Delivered
ORD00017820,CUST008286,PROD0010,2025-08-26,2,5641.52,Delivered
ORD00083235,CUST000162,PROD0041,2025-07-14,2,4558.32,Delivered
ORD00000018,CUST019683,PROD0007,2024-12-15,3,61518.54,Pending
ORD00006742,CUST017179,PROD0023,2024-11-19,1,2058.44,Delivered
ORD00019338,CUST011022,PROD0045,2023-07-07,1,1233.03,Cancelled
ORD00022870,CUST003033,PROD0076,2025-01-10,6,7549.32,Delivered
ORD00010458,CUST019356,PROD0070,2022-05-01,1,9545.38,Cancelled
ORD00006477,CUST012316,PROD0086,2025-05-22,1,175.09,Delivered
ORD00035009,CUST004918,PROD0058,2023-11-26,1,2048.33,Delivered
ORD00092737,CUST018835,PROD0011,2024-10-22,6,51586.56,Delivered
ORD00066098,CUST009469,PROD0077,2025-12-05,1,558.39,Delivered
ORD00028459,CUST018028,PROD0015,2024-09-16,10,298755.1,Delivered
ORD00082857,CUST015478,PROD0057,2023-04-16,2,3002.34,Shipped
ORD00049689,CUST010412,PROD0031,2024-09-28,1,19668.5,Shipped
ORD00029146,CUST011874,PROD0043,2023-04-15,1,270.98,Delivered
ORD00073187,CUST001290,PROD0047,2025-03-08,1,2768.8,Pending
ORD00036900,CUST000609,PROD0006,2024-12-12,1,33376.62,Delivered
ORD00045457,CUST007766,PROD0035,2024-05-01,1,17402.79,Cancelled
ORD00015813,CUST019413,PROD0083,2025-12-02,1,2057.5,Delivered
ORD00083974,CUST000667,PROD0089,2023-01-03,2,6996.44,Delivered
ORD00047830,CUST000218,PROD0029,2025-01-22,5,63832.35,Delivered
ORD00049903,CUST006007,PROD0035,2025-02-07,2,34805.58,Delivered
ORD00031974,CUST010808,PROD0051,2025-03-04,1,6691.49,Cancelled
ORD00007347,CUST004959,PROD0058,2023-10-01,1,2048.33,Delivered
ORD00084168,CUST016724,PROD0008,2025-11-03,1,28005.22,Returned
ORD00039162,CUST012816,PROD0083,2024-06-15,1,2057.5,delivered
ORD00056613,CUST006560,PROD0022,2024-08-14,1,9040.82,Delivered
ORD00081771,CUST016625,PROD0030,2024-10-28,3,58608.51,Cancelled
ORD00053663,CUST018630,PROD0077,2023-08-21,1,558.39,Cancelled
ORD00003814,CUST013161,PROD0042,2025-06-29,4,18036.28,Delivered
ORD00013759,CUST009016,PROD0025,2024-12-22,2,35631.1,Delivered
ORD00096717,CUST014084,PROD0028,2024-09-30,4,64402.36,Shipped
ORD00089645,CUST005362,PROD0021,2024-09-05,5,61419.0,Delivered
ORD00036512,CUST010998,PROD0038,2023-02-09,1,19843.32,Pending
ORD00069213,CUST001349,PROD0010,2024-01-21,1,2820.76,Delivered
ORD00012991,CUST002233,PROD0089,2025-10-18,4,13992.88,Delivered
ORD00034419,CUST019195,PROD0017,2023-09-20,1,29613.18,Delivered
ORD00052271,CUST016833,PROD0016,2022-03-17,2,17513.0,Returned
ORD00014233,CUST001534,PROD0013,2023-05-04,3,60614.22,Delivered
ORD00088740,CUST018008,PROD0016,2024-09-23,1,8756.5,Delivered
ORD00015333,CUST000140,PROD0022,2022-11-09,1,9040.82,Delivered
ORD00094532,CUST016914,PROD0083,2025-06-17,4,8230.0, Delivered
ORD00037628,,PROD0076,2024-12-23,1,1258.22,Delivered
ORD00086975,CUST006137,PROD0081,2022-05-04,2,1978.82,Delivered
ORD00099746,CUST010087,PROD0020,2025-12-20,2,95185.16,Delivered
ORD00062087,CUST010441,PROD0068,2022-10-28,1,6416.74,Delivered
ORD00001886,CUST015970,PROD0047,2025-06-29,1,2768.8,Delivered
ORD00085778,CUST003215,PROD0008,2025-10-05,4,112020.88,Cancelled
ORD00032399,CUST011233,PROD0019,2025-09-30,3,64391.52,Delivered
ORD00087980,CUST012633,PROD0028,2025-12-23,2,32201.18,Delivered
ORD00066008,CUST016692,PROD0054,2025-09-25,3,511.11,Delivered
ORD00086761,CUST016448,PROD0033,2025-01-26,3,57794.97,Delivered
ORD00016551,CUST016103,PROD0046,2023-12-22,1,4883.18,Shipped
ORD00021143,CUST001060,PROD0055,2025-06-23,8,5687.6,Delivered
ORD00048007,CUST019736,PROD0029,2025-09-23,2,25532.94,Shipped
ORD00045406,CUST017828,PROD0056,2023-08-22,1,3372.77,Pending
ORD00076876,CUST013540,PROD0069,2024-08-03,1,6975.53,Shipped
ORD00037252,CUST002718,PROD0035,2025-01-16,2,34805.58,Delivered
ORD00038169,CUST016561,PROD0090,2023-03-07,2,9809.16,Delivered
ORD00039343,CUST002461,PROD0066,2023-12-19,2,4687.36,Pending
ORD00070699,CUST007445,PROD0007,2025-10-30,1,20506.18,Delivered
ORD00012940,CUST015120,PROD0028,2025-11-11,2,32201.18,Shipped
ORD00033042,CUST006680,PROD0100,2025-03-16,1,386.41,Cancelled
ORD00040633,CUST015912,PROD0036,2025-12-16,5,37811.9,Delivered
ORD00084225,CUST003173,PROD0064,2025-12-04,1,5688.31,Delivered
ORD00011671,CUST000569,PROD0061,2023-07-13,2,4733.18,Delivered
ORD00057886,CUST010908,PROD0062,2024-05-09,4,1939.8,Delivered
ORD00055933,CUST012001,PROD0049,2024-12-22,2,14252.2,Shipped
ORD00084378,CUST007916,PROD0020,2023-09-11,1,47592.58,Pending
ORD00061285,CUST011191,PROD0018,2025-10-31,2,44422.14,Delivered
ORD00014836,CUST006765,PROD0087,2023-10-20,3,13655.46,Delivered
ORD00000162,CUST016391,PROD0054,2023-11-02,2,340.74,Delivered
ORD00019584,CUST009319,PROD0024,2023-03-05,1,8845.39,Delivered
