order_id,customer_id,product_id,order_date,quantity,source_amount,order_status,customer_match_status,product_status_match,test_date_status,amount,amount_status
ORD00015364,CUST007876,PROD0065,2025-03-26,2,10870.48,shipped,Matched,matched,valid,10870.48,matched
ORD00066753,CUST002172,PROD0040,2025-07-05,8,14010.56,returned,Matched,matched,valid,14010.56,matched
ORD00052643,CUST017847,PROD0001,2025-05-17,3,85772.94,delivered,Matched,matched,valid,85772.94,matched
ORD00050374,CUST002721,PROD0029,2023-04-28,6,76598.82,delivered,Matched,matched,valid,76598.81999999999,matched
ORD00010674,CUST012220,PROD0075,2025-07-09,1,1127.95,delivered,Matched,matched,valid,1127.95,matched
ORD00054174,CUST018162,PROD0022,2025-02-23,2,18081.64,delivered,Matched,matched,valid,18081.64,matched
ORD00038213,CUST018110,PROD0074,2023-08-04,1,838.22,pending,Matched,matched,valid,838.22,matched
ORD00093836,CUST008354,PROD0077,2024-11-16,5,2791.95,shipped,Matched,matched,valid,2791.95,matched
ORD00079116,CUST010603,PROD0063,2024-12-10,1,1957.06,delivered,Matched,matched,valid,1957.06,matched
ORD00046212,CUST001885,PROD0013,2023-03-14,2,40409.48,delivered,Matched,matched,valid,40409.48,matched
ORD00027932,CUST007162,PROD0090,2024-09-21,1,4904.58,delivered,Matched,matched,valid,4904.58,matched
ORD00059760,CUST015641,PROD0073,2025-08-21,2,8987.36,delivered,Matched,matched,valid,8987.36,matched
ORD00019744,CUST016299,PROD0088,2025-06-24,3,982.29,cancelled,Matched,matched,valid,982.29,matched
ORD00041280,CUST018106,PROD0026,2022-04-15,1,10836.41,delivered,Matched,matched,valid,10836.41,matched
ORD00091558,CUST001791,PROD0085,2021-05-27,2,8567.44,pending,Matched,matched,valid,8567.44,matched
ORD00007095,CUST005842,PROD0065,2022-11-02,1,5435.24,delivered,Matched,matched,valid,5435.24,matched
ORD00037161,CUST005747,PROD0073,2022-05-26,3,13481.04,shipped,Matched,matched,valid,13481.04,matched
ORD00018064,CUST005380,PROD0067,2024-01-29,2,4434.12,delivered,Matched,matched,valid,4434.12,matched
ORD00078431,CUST016543,PROD0090,2025-10-29,5,24522.9,shipped,Matched,matched,valid,24522.9,matched
ORD00047211,CUST015826,PROD0090,2025-05-14,1,4904.58,delivered,Matched,matched,valid,4904.58,matched
ORD00038372,CUST006241,PROD0021,2024-02-10,1,12283.8,delivered,Matched,matched,valid,12283.8,matched
ORD00086596,CUST005617,PROD0082,2024-01-13,2,3394.54,delivered,Matched,matched,valid,3394.54,matched
ORD00099859,CUST007140,PROD0052,2023-11-18,1,4368.31,pending,Matched,matched,valid,4368.31,matched
ORD00048500,CUST015942,PROD0007,2025-10-20,1,20506.18,delivered,Matched,matched,valid,20506.18,matched
ORD00078092,CUST002742,PROD0017,2023-03-27,1,29613.18,shipped,Matched,matched,valid,29613.18,matched
ORD00071894,CUST005619,PROD0053,2022-11-14,1,4886.41,delivered,Matched,matched,valid,4886.41,matched
