,order_id,customer_id,product_id,order_date,quantity,amount,order_status,quantity_numeric,customer_match_status,product_status_match,test_date_clean,test_date_status,clean_amount,row_id,amount_status,reject_reason
7,ORD00035811,CUST004260,PROD0095,2025-11-27,abc,7158.96,Delivered,,Matched,matched,2025-11-27,valid,7158.96,7,matched,INVALID_QUANTITY
77,ORD00044304,CUST018148,PROD0063,2024-12-05,0,3914.12,Delivered,0.0,Matched,matched,2024-12-05,valid,3914.12,77,matched,INVALID_QUANTITY
341,ORD00051383,CUST006758,PROD0057,2025-11-04,9,13210.3,delivered,9.0,Matched,matched,2025-11-04,valid,13510.53,341,Mismatched,INVALID_AMOUNT
518,ORD00034020,CUST006571,PROD0017,2024-02-12,2,32574.5,delivered,2.0,Matched,matched,2024-02-12,valid,59226.36,518,Mismatched,INVALID_AMOUNT
616,ORD00066004,CUST001184,PROD0050,2025-06-23,abc,3988.85,Delivered,,Matched,matched,2025-06-23,valid,3988.85,616,matched,INVALID_QUANTITY
837,ORD00086648,CUST004052,PROD0082,2023-08-11,-2,13578.16,Cancelled,-2.0,Matched,matched,2023-08-11,valid,13578.16,837,matched,INVALID_QUANTITY
1020,ORD00094952,CUST005608,PROD0002,2024-04-13,abc,46811.42,Pending,,Matched,matched,2024-04-13,valid,46811.42,1020,matched,INVALID_QUANTITY
1030,ORD00048662,CUST010916,PROD0070,2024-11-06,2,10499.92,delivered,2.0,Matched,matched,2024-11-06,valid,19090.76,1030,Mismatched,INVALID_AMOUNT
1351,ORD00004541,CUST014013,PROD0099,2024-03-11,,306.39,Delivered,,Matched,matched,2024-03-11,valid,306.39,1351,matched,INVALID_QUANTITY
1408,ORD00054551,CUST010752,PROD0081,2024-07-02,abc,1978.82,Delivered,,Matched,matched,2024-07-02,valid,1978.82,1408,matched,INVALID_QUANTITY
1570,ORD00028969,CUST005194,PROD0077,2025-09-10,abc,558.39,Shipped,,Matched,matched,2025-09-10,valid,558.39,1570,matched,INVALID_QUANTITY
1640,ORD00086958,CUST006138,PROD0065,2025-02-12,6,29893.82,shipped,6.0,Matched,matched,2025-02-12,valid,32611.44,1640,Mismatched,INVALID_AMOUNT
2282,ORD00010604,CUST007667,PROD0083,2025-08-29,,2057.5,Cancelled,,Matched,matched,2025-08-29,valid,2057.5,2282,matched,INVALID_QUANTITY
2466,ORD00087057,CUST010540,PROD0045,2024-09-05,abc,1233.03,Delivered,,Matched,matched,2024-09-05,valid,1233.03,2466,matched,INVALID_QUANTITY
2857,ORD00098159,CUST014720,PROD0042,2024-08-20,2,4959.98,delivered,2.0,Matched,matched,2024-08-20,valid,9018.14,2857,Mismatched,INVALID_AMOUNT
3044,ORD00044125,CUST005728,PROD0005,2021-10-05,,153952.85,Delivered,,Matched,matched,2021-10-05,valid,153952.85,3044,matched,INVALID_QUANTITY
3156,ORD00093290,CUST010237,PROD0058,2025-10-10,0,4096.66,Cancelled,0.0,Matched,matched,2025-10-10,valid,4096.66,3156,matched,INVALID_QUANTITY
3222,ORD00028393,CUST003408,PROD0087,2025-06-06,5,20028.01,pending,5.0,Matched,matched,2025-06-06,valid,22759.1,3222,Mismatched,INVALID_AMOUNT
3615,ORD00084219,CUST009542,PROD0015,2025-01-22,-5,59751.02,Cancelled,-5.0,Matched,matched,2025-01-22,valid,59751.02,3615,matched,INVALID_QUANTITY
3739,ORD00069689,CUST004467,PROD0055,2024-11-24,,2843.8,Delivered,,Matched,matched,2024-11-24,valid,2843.8,3739,matched,INVALID_QUANTITY
3893,ORD00016685,CUST000269,PROD0024,2024-11-11,-2,26536.17,Shipped,-2.0,Matched,matched,2024-11-11,valid,26536.17,3893,matched,INVALID_QUANTITY
4037,ORD00030537,CUST010524,PROD0033,2023-06-03,,19264.99,Cancelled,,Matched,matched,2023-06-03,valid,19264.99,4037,matched,INVALID_QUANTITY
4080,ORD00018065,CUST012127,PROD0007,2024-11-12,-1,41012.36,Delivered,-1.0,Matched,matched,2024-11-12,valid,41012.36,4080,matched,INVALID_QUANTITY
4142,ORD00021714,CUST015874,PROD0085,2025-07-06,,12851.16,Pending,,Matched,matched,2025-07-06,valid,12851.16,4142,matched,INVALID_QUANTITY
4159,ORD00032410,CUST006579,PROD0054,2023-04-29,2,187.41,pending,2.0,Matched,matched,2023-04-29,valid,340.74,4159,Mismatched,INVALID_AMOUNT
4277,ORD00071946,CUST007573,PROD0044,2025-03-01,9,29201.74,pending,9.0,Matched,matched,2025-03-01,valid,29865.420000000002,4277,Mismatched,INVALID_AMOUNT
4585,ORD00061343,CUST000820,PROD0067,2025-06-15,0,4434.12,Delivered,0.0,Matched,matched,2025-06-15,valid,4434.12,4585,matched,INVALID_QUANTITY
4791,ORD00034124,CUST004205,PROD0029,2024-10-18,2,14043.12,returned,2.0,Matched,matched,2024-10-18,valid,25532.94,4791,Mismatched,INVALID_AMOUNT
